ï»¿EstaciÃ³n destino,Alcaldia destino,ZonificaciÃ³n destino,zonificacion,% Llegada a la estaciÃ³n,% Salida a la estaciÃ³n,% Asignado en fecha,% Asignado con retraso,Total,Intentos de entrega,Entregados,No intentados,% Robo o extravÃ­o,letras,numeros
MX2,Tepotzotlan,ADZA5,ADZA_5,0,0,0.913043478,0,23,1,17,5,0,ADZA,5
SPGR2,Acapulco de Juarez,ACA10,ACA_10,0,0,1,0,23,0,23,0,0,ACA,10
SPMX5,La Paz,PAZM2,PAZM_2,0,0,1,0,23,1,22,0,0,PAZM,2
MX2,Atizapan de Zaragoza,ADZA7,ADZA_7,0,0,0.869565217,0,23,0,20,3,0,ADZA,7
SPMX6,Chalco,CHLC6,CHLC_6,0,0,0,0,23,0,0,23,0,CHLC,6
SPMX12,Alvaro Obregon,ALV6,ALV_6,0,0,0.304347826,0,23,0,2,21,0,ALV,6
MX4,Coyoacan,COY5,COY_5,0,0,1,0,22,0,22,0,0,COY,5
SPMX7,Ixtapaluca,IXLC5,IXLC_5,0,0,0.909090909,0,22,0,20,2,0,IXLC,5
CV2,Cuernavaca,CUE7,CUE_7,0,0,0.818181818,0,22,3,14,5,0,CUE,7
SPMX12,Alvaro Obregon,ALV13,ALV_13,0,0,0.545454545,0,22,0,7,15,0,ALV,13
CV2,Temixco,TEMX2,TEMX_2,0,0,0.952380952,0,21,2,18,1,0,TEMX,2
TLC2,Metepec,MPEC5,MPEC_5,0,0,0.571428571,0,21,0,11,10,0,MPEC,5
SPMX2,Ecatepec de Morelos,ECA19,ECA_19,0,0,0.952380952,0,21,0,20,1,0,ECA,19
SPMX7,Ixtapaluca,IXLC1,IXLC_1,0,0,0.904761905,0,21,4,15,2,0,IXLC,1
SPMX8,Ecatepec de Morelos,ECA16,ECA_16,0,0,0.952380952,0,21,1,18,2,0,ECA,16
SPMX11,Cuajimalpa de Morelos,CUAJ2,CUAJ_2,0,0,0.857142857,0,21,2,16,3,0,CUAJ,2
MX2,Atizapan de Zaragoza,NRMR1,NRMR_1,0,0,0,0,21,0,0,21,0,NRMR,1
CV2,Cuernavaca,CUE5,CUE_5,0,0,0.95,0,20,1,17,2,0,CUE,5
MX1,Cuauhtemoc,CHT5,CHT_5,0,0,0.55,0,20,2,9,9,0,CHT,5
MX2,Atizapan de Zaragoza,TMAC4,TMAC_4,0,0,0.6,0,20,0,12,8,0,TMAC,4
MX4,Alvaro Obregon,ALV11,ALV_11,0,0,0.65,0,20,0,13,7,0,ALV,11
SPMX12,Alvaro Obregon,ALV4,ALV_4,0,0,0.05,0,20,1,0,19,0,ALV,4
SPMX1,Venustiano Carranza,VCA7,VCA_7,0,0,0.95,0,20,0,19,1,0,VCA,7
SPMX12,Alvaro Obregon,ALV5,ALV_5,0,0,0,0,20,0,0,20,0,ALV,5
MX2,Atizapan de Zaragoza,ADZA3,ADZA_3,0,0,0.947368421,0,19,0,18,1,0,ADZA,3
MX4,Alvaro Obregon,ALV12,ALV_12,0,0,0.736842105,0,19,0,14,5,0,ALV,12
SPMX4,Tlalnepantla de Baz,TBAZ7,TBAZ_7,0,0,0.684210526,0,19,0,8,11,0,TBAZ,7
SPMX4,Tlalnepantla de Baz,TBAZ4,TBAZ_4,0,0,1,0,19,1,10,8,0,TBAZ,4
SPMX8,Ecatepec de Morelos,ECA15,ECA_15,0,0,1,0,19,0,19,0,0,ECA,15
SPMX12,Tlalpan,TLP4,TLP_4,0,0,0,0,19,0,0,19,0,TLP,4
SPMX12,Alvaro Obregon,ALV7,ALV_7,0,0,0,0,19,0,0,19,0,ALV,7
SPMX2,Ecatepec de Morelos,ECA4,ECA_4,0,0,1,0,19,1,18,0,0,ECA,4
MX2,Atizapan de Zaragoza,TMAC3,TMAC_3,0,0,0.5,0,18,1,8,9,0,TMAC,3
TLC2,Toluca,TCA13,TCA_13,0,0,0.944444444,0,18,1,16,1,0,TCA,13
SPMX2,Ecatepec de Morelos,ECA5,ECA_5,0,0,1,0,18,6,12,0,0,ECA,5
SPMX4,Tlalnepantla de Baz,TBAZ10,TBAZ_10,0,0,0.555555556,0,18,2,8,8,0,TBAZ,10
SPMX6,Valle de Chalco Solidaridad,VCHL2,VCHL_2,0,0,0.888888889,0,18,1,14,3,0,VCHL,2
SPMX8,Ecatepec de Morelos,ECA8,ECA_8,0,0,1,0,18,0,12,6,0,ECA,8
SPMX11,Huixquilucan,HUIX8,HUIX_8,0,0,0.833333333,0,18,0,15,3,0,HUIX,8
MX2,Naucalpan de Juarez,NCPN11,NCPN_11,0,0,0.166666667,0,18,0,0,18,0,NCPN,11
MX2,Atizapan de Zaragoza,NCPN10,NCPN_10,0,0,0,0,18,0,0,18,0,NCPN,10
TLC2,Toluca,TCA11,TCA_11,0,0,0.944444444,0,18,0,17,1,0,TCA,11
MX2,Tultitlan,TLTI7,TLTI_7,0,0,0.941176471,0,17,0,14,3,0,TLTI,7
MX2,Nicolas Romero,ADZA8,ADZA_8,0,0,0.588235294,0,17,0,9,8,0,ADZA,8
MX2,Cuautitlan Izcalli,CLLI2,CLLI_2,0,0,0.882352941,0,17,2,13,2,0,CLLI,2
MX2,Atizapan de Zaragoza,ADZA1,ADZA_1,0,0,0.823529412,0,17,0,14,3,0,ADZA,1
TLC1,Metepec,MPEC3,MPEC_3,0,0,1,0,17,0,17,0,0,MPEC,3
TLC2,San Mateo Atenco,SMAT2,SMAT_2,0,0,1,0,17,0,11,6,0,SMAT,2
SPMX1,Ecatepec de Morelos,ECA2,ECA_2,0,0,0.941176471,0,17,0,16,1,0,ECA,2
CV2,Cuernavaca,CUE3,CUE_3,0,0,0.764705882,0,17,1,12,4,0,CUE,3
SPMX2,Ecatepec de Morelos,ECA10,ECA_10,0,0,0.941176471,0,17,0,16,1,0,ECA,10
SPMX12,Alvaro Obregon,ALV2,ALV_2,0,0,0,0,17,0,0,17,0,ALV,2
SPMX12,Alvaro Obregon,ALV14,ALV_14,0,0,0.058823529,0,17,0,1,16,0,ALV,14
TLC2,Toluca,TCA15,TCA_15,0,0,0.117647059,0,17,0,2,15,0,TCA,15
SPMX5,Chimalhuacan,CMH4,CMH_4,0,0,0.941176471,0,17,0,16,1,0,CMH,4
SPMX5,Chicoloapan,CLPN2,CLPN_2,0,0,1,0,17,1,16,0,0,CLPN,2
MX2,Tepotzotlan,ADZA4,ADZA_4,0,0,1,0,16,0,15,1,0,ADZA,4
TLC1,Toluca,TCA4,TCA_4,0,0,0.5625,0,16,0,9,7,0,TCA,4
SPMX2,Ecatepec de Morelos,ECA11,ECA_11,0,0,0.9375,0,16,0,15,1,0,ECA,11
SPMX4,Tlalnepantla de Baz,TBAZ6,TBAZ_6,0,0,0.9375,0,16,0,14,2,0,TBAZ,6
SPMX7,Texcoco,TCC8,TCC_8,0,0,0.125,0,16,0,2,14,0,TCC,8
SPMX11,Huixquilucan,HUIX1,HUIX_1,0,0,0.9375,0,16,0,15,1,0,HUIX,1
MX4,Benito Juarez,BJ6,BJ_6,0,0,0.6875,0,16,2,9,5,0,BJ,6
TLC2,Toluca,TCA10,TCA_10,0,0,0.875,0,16,1,13,2,0,TCA,10
CV1,Jiutepec,TEPO3,TEPO_3,0,0,0.866666667,0,15,0,13,2,0,TEPO,3
MX2,Tultitlan,TLTI4,TLTI_4,0,0,0.933333333,0,15,1,13,1,0,TLTI,4
TLC2,Lerma,LRMA1,LRMA_1,0,0,1,0,15,0,15,0,0,LRMA,1
MX2,Atizapan de Zaragoza,NCPN11,NCPN_11,0,0,0,0,15,0,0,15,0,NCPN,11
MX2,Tepotzotlan,ADZA10,ADZA_10,0,0,0.928571429,0,14,1,12,1,0,ADZA,10
MX2,Tultepec,TLTI7,TLTI_7,0,0,1,0,14,0,14,0,0,TLTI,7
SPMX3,Zumpango,ZPGO4,ZPGO_4,0,0,0,0,14,0,0,14,0,ZPGO,4
SPMX5,Chimalhuacan,CMH2,CMH_2,0,0,1,0,14,0,14,0,0,CMH,2
SPMX12,Tlalpan,TLP1,TLP_1,0,0,0,0,14,0,0,14,0,TLP,1
SPMX6,Valle de Chalco Solidaridad,VCHL1,VCHL_1,0,0,0.857142857,0,14,2,10,2,0,VCHL,1
TLC2,Lerma,LRMA2,LRMA_2,0,0,1,0,14,2,12,0,0,LRMA,2
SPMX6,Valle de Chalco Solidaridad,VCHL4,VCHL_4,0,0,1,0,14,0,11,3,0,VCHL,4
SPMX3,Zumpango,ZPGO2,ZPGO_2,0,0,0,0,13,0,0,13,0,ZPGO,2
SPMX6,Valle de Chalco Solidaridad,VCHL3,VCHL_3,0,0,0.769230769,0,13,0,10,3,0,VCHL,3
SPMX7,Texcoco,TCC9,TCC_9,0,0,0.230769231,0,13,0,3,10,0,TCC,9
SPMX9,Xochimilco,XOCH3,XOCH_3,0,0,0.923076923,0,13,3,9,1,0,XOCH,3
CV1,Cuautla,CUAU1,CUAU_1,0,0,1,0,13,1,12,0,0,CUAU,1
CV2,Cuernavaca,CUE1,CUE_1,0,0,0.615384615,0,13,0,8,5,0,CUE,1
MX2,Atizapan de Zaragoza,NRMR3,NRMR_3,0,0,0,0,13,0,0,13,0,NRMR,3
MX2,Tultitlan,TLTI3,TLTI_3,0,0,0.923076923,0,13,0,9,4,0,TLTI,3
SPMX6,Chalco,CHLC4,CHLC_4,0,0,0,0,13,0,0,13,0,CHLC,4
SPMX8,Ecatepec de Morelos,ECA14,ECA_14,0,0,1,0,13,0,13,0,0,ECA,14
TLC2,San Mateo Atenco,SMAT1,SMAT_1,0,0,0.923076923,0,13,0,12,1,0,SMAT,1
SPMX5,Chimalhuacan,CMH5,CMH_5,0,0,1,0,13,3,10,0,0,CMH,5
MX2,Atizapan de Zaragoza,NRMR2,NRMR_2,0,0,0,0,13,0,0,13,0,NRMR,2
SPMX5,Chimalhuacan,CMH1,CMH_1,0,0,1,0,12,0,12,0,0,CMH,1
SPMX5,Chimalhuacan,CMH6,CMH_6,0,0,1,0,12,0,12,0,0,CMH,6
SPMX7,Ixtapaluca,IXLC4,IXLC_4,0,0,0.833333333,0,12,1,9,2,0,IXLC,4
CV1,Cuautla,CUAU5,CUAU_5,0,0,1,0,12,0,12,0,0,CUAU,5
MX2,Naucalpan de Juarez,NCPN2,NCPN_2,0,0,0,0,12,0,0,12,0,NCPN,2
TLC1,Calimaya,CALI1,CALI_1,0,0,0.416666667,0,12,0,5,7,0,CALI,1
SPMX11,Cuajimalpa de Morelos,CUAJ5,CUAJ_5,0,0,0.833333333,0,12,0,10,2,0,CUAJ,5
TLC1,Toluca,TCA5,TCA_5,0,0,1,0,12,2,10,0,0,TCA,5
SPGR2,Acapulco de Juarez,ACA1,ACA_1,0,0,1,0,11,0,11,0,0,ACA,1
CV2,Temixco,TEMX1,TEMX_1,0,0,0.909090909,0,11,1,9,1,0,TEMX,1
MX2,Naucalpan de Juarez,CLLI1,CLLI_1,0,0,1,0,11,0,11,0,0,CLLI,1
TLC1,Toluca,TCA1,TCA_1,0,0,1,0,11,1,10,0,0,TCA,1
SPMX5,La Paz,PAZM5,PAZM_5,0,0,0.909090909,0,11,1,9,1,0,PAZM,5
MX2,Naucalpan de Juarez,NCPN1,NCPN_1,0,0,0,0,11,0,0,11,0,NCPN,1
TLC2,Lerma,LRMA3,LRMA_3,0,0,1,0,11,1,10,0,0,LRMA,3
SPMX3,Huehuetoca,HTCA2,HTCA_2,0,0,0,0,11,0,0,11,0,HTCA,2
SPMX3,Huehuetoca,HTCA1,HTCA_1,0,0,0,0,10,0,0,10,0,HTCA,1
MX2,Tepotzotlan,ADZA11,ADZA_11,0,0,1,0,10,1,9,0,0,ADZA,11
CV2,Xochitepec,TEMX1,TEMX_1,0,0,0.8,0,10,3,5,2,0,TEMX,1
SPMX6,Chalco,CHLC3,CHLC_3,0,0,0,0,10,0,0,10,0,CHLC,3
SPMX7,Ixtapaluca,IXLC2,IXLC_2,0,0,0.9,0,10,0,9,1,0,IXLC,2
SPMX11,Huixquilucan,HUIX4,HUIX_4,0,0,0.6,0,10,6,0,4,0,HUIX,4
SPMX5,La Paz,PAZM1,PAZM_1,0,0,1,0,10,0,10,0,0,PAZM,1
SPMX3,Zumpango,ZPGO1,ZPGO_1,0,0,0,0,9,0,0,9,0,ZPGO,1
MX4,Benito Juarez,BJ13,BJ_13,0,0,1,0,9,1,8,0,0,BJ,13
SPMX11,Huixquilucan,HUIX5,HUIX_5,0,0,1,0,9,5,4,0,0,HUIX,5
SPMX12,Tlalpan,TLP2,TLP_2,0,0,0,0,9,0,0,9,0,TLP,2
MX2,Tultitlan,TLTI6,TLTI_6,0,0,1,0,9,0,7,2,0,TLTI,6
TLC2,Toluca,TCA14,TCA_14,0,0,0,0,9,0,0,9,0,TCA,14
SPMX11,Cuajimalpa de Morelos,CUAJ6,CUAJ_6,0,0,1,0,9,1,8,0,0,CUAJ,6
CV1,Tepoztlan,TEPO2,TEPO_2,0,0,1,0,9,2,7,0,0,TEPO,2
MX2,Cuautitlan Izcalli,CLLI9,CLLI_9,0,0,1,0,8,1,7,0,0,CLLI,9
TLC2,Lerma,LRMA4,LRMA_4,0,0,1,0,8,0,8,0,0,LRMA,4
SPMX5,La Paz,PAZM4,PAZM_4,0,0,1,0,8,0,8,0,0,PAZM,4
SPMX11,Huixquilucan,HUIX2,HUIX_2,0,0,1,0,8,4,2,2,0,HUIX,2
CV2,Emiliano Zapata,TEMX2,TEMX_2,0,0,1,0,8,1,7,0,0,TEMX,2
MX2,Atizapan de Zaragoza,ADZA8,ADZA_8,0,0,0.875,0,8,0,6,2,0,ADZA,8
SPMX8,Ecatepec de Morelos,ECA9,ECA_9,0,0,0.875,0,8,3,4,1,0,ECA,9
CV2,Zacatepec,ZACA1,ZACA_1,0,0,0.875,0,8,0,7,1,0,ZACA,1
SPMX2,Ecatepec de Morelos,ECA13,ECA_13,0,0,1,0,8,1,7,0,0,ECA,13
SPMX5,La Paz,PAZM3,PAZM_3,0,0,1,0,8,0,8,0,0,PAZM,3
MX2,Cuautitlan Izcalli,ADZA3,ADZA_3,0,0,0.857142857,0,7,0,5,2,0,ADZA,3
CV1,Cuautla,CUAU2,CUAU_2,0,0,1,0,7,2,5,0,0,CUAU,2
MX2,Atizapan de Zaragoza,NRMR4,NRMR_4,0,0,0,0,7,0,0,7,0,NRMR,4
SPMX7,Texcoco,TCC1,TCC_1,0,0,0.428571429,0,7,0,3,4,0,TCC,1
SPMX7,Texcoco,TCC4,TCC_4,0,0,0.571428571,0,7,0,4,3,0,TCC,4
MX2,Naucalpan de Juarez,MELO1,MELO_1,0,0,0.857142857,0,7,0,2,5,0,MELO,1
SPMX3,Zumpango,ZPGO3,ZPGO_3,0,0,0,0,6,0,0,6,0,ZPGO,3
CV1,Cuautla,CUAU3,CUAU_3,0,0,1,0,6,1,5,0,0,CUAU,3
MX2,Nicolas Romero,ADZA5,ADZA_5,0,0,1,0,6,0,6,0,0,ADZA,5
SPPCH3,Mineral de la Reforma,MREF4,MREF_4,0,0,0,0,6,0,0,6,0,MREF,4
SPPCH3,Mineral de la Reforma,MREF3,MREF_3,0,0,0.166666667,0,6,0,0,6,0,MREF,3
MX2,Cuautitlan Izcalli,ADZA6,ADZA_6,0,0,0.833333333,0,6,0,1,5,0,ADZA,6
SPGR3,Acapulco de Juarez,ACA6,ACA_6,0,0,0,0,6,0,0,6,0,ACA,6
SPMX7,Ixtapaluca,IXLC6,IXLC_6,0,0,1,0,6,0,6,0,0,IXLC,6
MX2,Cuautitlan Izcalli,CLLI1,CLLI_1,0,0,0.833333333,0,6,1,4,1,0,CLLI,1
MX2,Cuautitlan,CTLN3,CTLN_3,0,0,0.833333333,0,6,0,5,1,0,CTLN,3
SPPCH3,Pachuca de Soto,PAC7,PAC_7,0,0,1,0,5,0,5,0,0,PAC,7
CV1,Cuernavaca,CUE6,CUE_6,0,0,0,0,5,0,0,5,0,CUE,6
TLC1,Calimaya,CALI2,CALI_2,0,0,0.8,0,5,2,2,1,0,CALI,2
SPGR3,Acapulco de Juarez,ACA7,ACA_7,0,0,0,0,5,0,0,5,0,ACA,7
SPPCH3,Pachuca de Soto,PAC1,PAC_1,0,0,0.4,0,5,0,2,3,0,PAC,1
SPMX9,Tlalpan,TLP8,TLP_8,0,0,1,0,5,0,5,0,0,TLP,8
MX2,Naucalpan de Juarez,MELO2,MELO_2,0,0,1,0,5,0,4,1,0,MELO,2
SPMX6,Chalco,CHLC5,CHLC_5,0,0,0,0,5,0,0,5,0,CHLC,5
MX2,Nicolas Romero,ADZA9,ADZA_9,0,0,1,0,4,0,4,0,0,ADZA,9
SPMX10,Tlahuac,TLAH6,TLAH_6,0,0,1,0,4,0,4,0,0,TLAH,6
SPGR2,Acapulco de Juarez,ACA5,ACA_5,0,0,1,0,4,0,4,0,0,ACA,5
SPMX9,Xochimilco,XOCH1,XOCH_1,0,0,1,0,4,0,4,0,0,XOCH,1
SPGR3,Acapulco de Juarez,ACA2,ACA_2,0,0,0,0,4,0,0,4,0,ACA,2
SPMX5,Chimalhuacan,CMH7,CMH_7,0,0,1,0,4,0,4,0,0,CMH,7
SPMX7,Texcoco,TCC11,TCC_11,0,0,0,0,4,0,0,4,0,TCC,11
SPMX7,Texcoco,TCC2,TCC_2,0,0,0.5,0,4,0,2,2,0,TCC,2
SPPCH1,Pachuca de Soto,PAC8,PAC_8,0,0,1,0,3,0,3,0,0,PAC,8
SPPCH3,Pachuca de Soto,PAC6,PAC_6,0,0,0.333333333,0,3,0,1,2,0,PAC,6
FreeCoverage,Xochimilco,NAN,_,0,0,0,0,3,0,0,3,0,,
MX4,Iztapalapa,IZTA6,IZTA_6,0,0,1,0,3,0,3,0,0,IZTA,6
TLC1,Toluca,TCA8,TCA_8,0,0,0.666666667,0,3,0,2,1,0,TCA,8
MX2,Atizapan de Zaragoza,TPTL2,TPTL_2,0,0,1,0,3,1,2,0,0,TPTL,2
SPMX7,Texcoco,TCC12,TCC_12,0,0,0.333333333,0,3,0,1,2,0,TCC,12
SPMX7,Texcoco,TCC10,TCC_10,0,0,0.666666667,0,3,0,2,1,0,TCC,10
SPMX7,Texcoco,TCC5,TCC_5,0,0,0.666666667,0,3,0,2,1,0,TCC,5
MX1,Cuauhtemoc,CHT10,CHT_10,0,0,0.666666667,0,3,0,2,1,0,CHT,10
SPMX6,Chalco,CHLC2,CHLC_2,0,0,0,0,3,0,0,3,0,CHLC,2
TLC2,Toluca,TCA12,TCA_12,0,0,0.666666667,0,3,0,2,1,0,TCA,12
SPPCH3,Mineral de la Reforma,MREF2,MREF_2,0,0,0,0,3,0,0,3,0,MREF,2
MX2,Atizapan de Zaragoza,TPTL1,TPTL_1,0,0,1,0,2,0,2,0,0,TPTL,1
MX2,Nicolas Romero,ADZA7,ADZA_7,0,0,1,0,2,0,2,0,0,ADZA,7
CV1,Tepoztlan,TEPO3,TEPO_3,0,0,1,0,2,1,1,0,0,TEPO,3
CV2,Cuernavaca,TEMX3,TEMX_3,0,0,0,0,2,0,0,2,0,TEMX,3
MHXQ,Alvaro Obregon,ALV1,ALV_1,0,0,0.5,0,2,0,1,1,0,ALV,1
SPGR3,Acapulco de Juarez,ACA3,ACA_3,0,0,0,0,2,0,0,2,0,ACA,3
SPMX6,Chalco,CHLC7,CHLC_7,0,0,0,0,2,0,0,2,0,CHLC,7
SPMX7,Texcoco,TCC7,TCC_7,0,0,0.5,0,2,0,1,1,0,TCC,7
SPMX8,Tlalnepantla de Baz,ECA8,ECA_8,0,0,1,0,2,0,1,1,0,ECA,8
SPPCH3,Pachuca de Soto,PAC2,PAC_2,0,0,0.5,0,2,0,1,1,0,PAC,2
TLC1,Zinacantepec,ZINA3,ZINA_3,0,0,1,0,2,0,2,0,0,ZINA,3
TLC1,Zinacantepec,ZINA4,ZINA_4,0,0,0.5,0,2,0,1,1,0,ZINA,4
SPGR3,Acapulco de Juarez,ACA5,ACA_5,0,0,0,0,2,0,0,2,0,ACA,5
MX2,Naucalpan de Juarez,NCPN14,NCPN_14,0,0,0,0,2,0,0,2,0,NCPN,14
MHXQ,Alvaro Obregon,ALV2,ALV_2,0,0,0,0,2,0,0,2,0,ALV,2
SPMX6,Chalco,CHLC1,CHLC_1,0,0,0,0,2,0,0,2,0,CHLC,1
SPMX7,Texcoco,TCC3,TCC_3,0,0,0,0,2,0,0,2,0,TCC,3
MX2,Cuautitlan Izcalli,ADZA4,ADZA_4,0,0,1,0,2,0,2,0,0,ADZA,4
SPPCH1,Tulancingo de Bravo,TCGO1,TCGO_1,0,0,1,0,2,0,2,0,0,TCGO,1
MX2,Tepotzotlan,TPTL1,TPTL_1,0,0,1,0,2,0,2,0,0,TPTL,1
CV1,Tepoztlan,TEPO1,TEPO_1,0,0,1,0,2,0,2,0,0,TEPO,1
MHXQ,Alvaro Obregon,ALV5,ALV_5,0,0,0,0,2,0,0,2,0,ALV,5
SPPCH3,Cuautepec de Hinojosa,CTPH1,CTPH_1,0,0,0,0,2,0,0,2,0,CTPH,1
SPPCH1,Pachuca de Soto,PAC5,PAC_5,0,0,1,0,2,0,2,0,0,PAC,5
MX2,Nezahualcoyotl,TLTI6,TLTI_6,0,0,1,0,1,0,1,0,0,TLTI,6
MHXQ,Alvaro Obregon,ALV8,ALV_8,0,0,0,0,1,0,0,1,0,ALV,8
MHXQ,Alvaro Obregon,ALV7,ALV_7,0,0,0,0,1,0,0,1,0,ALV,7
MHXQ,Alvaro Obregon,ALV6,ALV_6,0,0,1,0,1,0,1,0,0,ALV,6
MHXQ,Alvaro Obregon,ALV13,ALV_13,0,0,1,0,1,0,1,0,0,ALV,13
CustomCoverageZipcode,Zinacantepec,NAN,_,0,0,0,0,1,0,0,1,0,,
CV2,Cuernavaca,TEMX4,TEMX_4,0,0,0,0,1,0,0,1,0,TEMX,4
MX2,Tepotzotlan,TPTL3,TPTL_3,0,0,1,0,1,0,1,0,0,TPTL,3
MX2,Atizapan de Zaragoza,CTLN3,CTLN_3,0,0,1,0,1,0,1,0,0,CTLN,3
MHXQ,Alvaro Obregon,ALV14,ALV_14,0,0,0,0,1,0,0,1,0,ALV,14
SPMX7,Chalco,IXLC2,IXLC_2,0,0,0,0,1,0,0,1,0,IXLC,2
SPMX11,Xochimilco,CUAJ4,CUAJ_4,0,0,1,0,1,0,1,0,0,CUAJ,4
SPPCH1,Tizayuca,TYCA2,TYCA_2,0,0,1,0,1,1,0,0,0,TYCA,2
SPPCH1,Pachuca de Soto,PAC10,PAC_10,0,0,1,0,1,0,1,0,0,PAC,10
MX4,Tlalpan,COY3,COY_3,0,0,1,0,1,0,0,1,0,COY,3
SPGR3,Acapulco de Juarez,ACA4,ACA_4,0,0,0,0,1,0,0,1,0,ACA,4
SPMX11,Cuajimalpa de Morelos,CUAJ7,CUAJ_7,0,0,1,0,1,0,1,0,0,CUAJ,7
MX1,Nezahualcoyotl,CHT2,CHT_2,0,0,1,0,1,0,1,0,0,CHT,2
SPMX7,Texcoco,TCC13,TCC_13,0,0,0,0,1,0,0,1,0,TCC,13
MX2,Tepotzotlan,ADZA1,ADZA_1,0,0,1,0,1,0,1,0,0,ADZA,1
SPMX7,Texcoco,TCC14,TCC_14,0,0,0,0,1,0,0,1,0,TCC,14
FreeCoverage,Milpa Alta,NAN,_,0,0,0,0,1,0,0,1,0,,
MX2,Atizapan de Zaragoza,TPTL3,TPTL_3,0,0,1,0,1,0,1,0,0,TPTL,3
SPPCH1,Tepeapulco,TEPE2,TEPE_2,0,0,1,0,1,1,0,0,0,TEPE,2
SPPCH1,Tulancingo de Bravo,TCGO2,TCGO_2,0,0,1,0,1,0,1,0,0,TCGO,2
SPMX11,Huixquilucan,HUIX10,HUIX_10,0,0,1,0,1,1,0,0,0,HUIX,10
